Timestamp,What is your age?,Which social media platform/s do you like the most or use the most?,How much time do you spend on social media in a day?,How much time do you spend on physical activities in a day?,How much do you feel that you are exposed to inappropriate content on these platforms (out of 10)?,Have you ever been a victim of any of these cyber crimes?,Which type of communication do you generally prefer?,,,,,,
2/3/2018 19:12:17,19,"Whatsapp, Facebook, Youtube",more than 4 hrs,less than 1 hr,7,None of the above,through social media,,,,,,
2/3/2018 19:12:44,18,Whatsapp,more than 4 hrs,less than 1 hr,7,None of the above,Text message,,,,,,
2/3/2018 19:13:58,18,Whatsapp,more than 4 hrs,upto 4 hrs,5,None of the above,Text message,,,,,,
2/3/2018 19:17:00,18,Whatsapp,1 - 2.5 hrs,none,6,None of the above,Text message,,,,,,
2/3/2018 19:17:05,18,"Whatsapp, Facebook, Youtube, Twitter, Instagram",upto 4 hrs,less than 1 hr,4,None of the above,face to face,,,,,,
2/3/2018 19:17:13,18,"Whatsapp, Facebook, Youtube, Instagram, Snapchat, Hike",upto 4 hrs,1 - 2.5 hrs,2,None of the above,face to face,,,,,,
2/3/2018 19:18:45,19,"Whatsapp, Facebook, Youtube",less than 1 hr,less than 1 hr,3,None of the above,"face to face, through phone, Text message",,,,,,
2/3/2018 19:19:23,23,"Whatsapp, Facebook",upto 4 hrs,1 - 2.5 hrs,2,Photos being misused,through social media,,,,,,
2/3/2018 19:19:47,19,"Whatsapp, Facebook, Youtube, Instagram",more than 4 hrs,less than 1 hr,6,None of the above,face to face,,,,,,
2/3/2018 19:20:32,19,"Facebook, Youtube",less than 1 hr,less than 1 hr,0,None of the above,"face to face, Text message",,,,,,
2/3/2018 19:21:31,19,Instagram,1 - 2.5 hrs,1 - 2.5 hrs,3,None of the above,through phone,,,,,,
2/3/2018 19:21:37,21,Instagram,1 - 2.5 hrs,upto 4 hrs,8,None of the above,"face to face, through phone, Text message",,,,,,
2/3/2018 19:22:36,18,"Whatsapp, Facebook, Youtube",more than 4 hrs,less than 1 hr,7,None of the above,"face to face, through phone, through social media",,,,,,
2/3/2018 19:22:37,18,"Whatsapp, Facebook, Youtube, Instagram, Snapchat, Hike",more than 4 hrs,less than 1 hr,6,None of the above,"face to face, through phone, Text message, through social media",,,,,,
2/3/2018 19:23:15,18,Whatsapp,upto 4 hrs,less than 1 hr,8,None of the above,face to face,,,,,,
2/3/2018 19:24:03,18,"Whatsapp, Youtube, Instagram",1 - 2.5 hrs,none,2,Fake profiles,face to face,,,,,,
2/3/2018 19:25:23,18,"Whatsapp, Youtube",less than 1 hr,none,5,None of the above,face to face,,,,,,
2/3/2018 19:25:25,18,Whatsapp,1 - 2.5 hrs,1 - 2.5 hrs,7,Hacking,Text message,,,,,,
2/3/2018 19:26:00,21,"Whatsapp, Facebook, Youtube, Instagram",1 - 2.5 hrs,less than 1 hr,3,None of the above,"face to face, through phone, Text message, through social media",,,,,,
2/3/2018 19:27:41,20,Facebook,1 - 2.5 hrs,1 - 2.5 hrs,2,None of the above,face to face,,,,,,
2/3/2018 19:28:56,19,Whatsapp,1 - 2.5 hrs,less than 1 hr,4,None of the above,Text message,,,,,,
2/3/2018 19:32:57,21,"Whatsapp, Facebook, Youtube, Instagram",upto 4 hrs,1 - 2.5 hrs,6,None of the above,"face to face, through social media",,,,,,
2/3/2018 19:33:36,18,"Whatsapp, Facebook, Youtube, Instagram",1 - 2.5 hrs,less than 1 hr,10,None of the above,through social media,,,,,,
2/3/2018 19:34:23,19,Whatsapp,1 - 2.5 hrs,1 - 2.5 hrs,5,Fake profiles,through phone,,,,,,
2/3/2018 19:34:27,19,Whatsapp,upto 4 hrs,none,0,None of the above,face to face,,,,,,
2/3/2018 19:36:01,16,Youtube,less than 1 hr,1 - 2.5 hrs,2,None of the above,through phone,,,,,,
2/3/2018 19:39:50,17,"Whatsapp, Facebook, Instagram, Snapchat",upto 4 hrs,1 - 2.5 hrs,4,None of the above,through phone,,,,,,
2/3/2018 19:41:31,19,"Facebook, Youtube",less than 1 hr,none,0,None of the above,through social media,,,,,,
2/3/2018 19:42:00,18,"Whatsapp, Youtube, Instagram",less than 1 hr,none,6,None of the above,"face to face, Text message",,,,,,
2/3/2018 19:42:21,18,Instagram,less than 1 hr,1 - 2.5 hrs,2,None of the above,face to face,,,,,,
2/3/2018 19:43:53,18,"Whatsapp, Facebook",upto 4 hrs,less than 1 hr,3,None of the above,"face to face, Text message",,,,,,
2/3/2018 19:44:14,18,"Whatsapp, Facebook, Youtube",upto 4 hrs,1 - 2.5 hrs,2,None of the above,"face to face, through phone, through social media",,,,,,
2/3/2018 19:45:32,18,"Whatsapp, Youtube",1 - 2.5 hrs,less than 1 hr,4,None of the above,"face to face, through phone",,,,,,
2/3/2018 19:49:08,20,"Whatsapp, Youtube, Instagram",more than 4 hrs,less than 1 hr,4,None of the above,face to face,,,,,,
2/3/2018 19:49:31,22,"Facebook, Youtube",more than 4 hrs,1 - 2.5 hrs,4,None of the above,Text message,,,,,,
2/3/2018 19:51:57,21,"Whatsapp, Facebook, Youtube, Instagram",more than 4 hrs,none,9,None of the above,"face to face, through phone, Text message, through social media",,,,,,
2/3/2018 19:52:30,19,Instagram,less than 1 hr,1 - 2.5 hrs,2,None of the above,face to face,,,,,,
2/3/2018 19:53:46,17,Instagram,1 - 2.5 hrs,less than 1 hr,0,None of the above,"face to face, Text message",,,,,,
2/3/2018 19:56:09,21,Instagram,more than 4 hrs,1 - 2.5 hrs,6,Hacking,Text message,,,,,,
2/3/2018 19:57:12,20,Whatsapp,1 - 2.5 hrs,more than 4 hrs,7,Photos being misused,Text message,,,,,,
2/3/2018 19:59:27,21,"Whatsapp, Facebook, Youtube, Twitter, Instagram",less than 1 hr,less than 1 hr,9,Fake profiles,face to face,,,,,,
2/3/2018 20:01:03,18,"Whatsapp, Youtube",1 - 2.5 hrs,less than 1 hr,7,Fake profiles,Text message,,,,,,
2/3/2018 20:01:08,19,Whatsapp,less than 1 hr,1 - 2.5 hrs,3,None of the above,face to face,,,,,,
2/3/2018 20:01:08,19,"Whatsapp, Instagram",1 - 2.5 hrs,less than 1 hr,3,None of the above,face to face,,,,,,
2/3/2018 20:02:57,18,"Whatsapp, Facebook, Youtube, Instagram",1 - 2.5 hrs,upto 4 hrs,10,Hacking,Text message,,,,,,
2/3/2018 20:03:48,19,"Whatsapp, Youtube, Instagram",upto 4 hrs,none,3,None of the above,face to face,,,,,,
2/3/2018 20:03:51,19,Whatsapp,none,less than 1 hr,7,"Fake profiles, None of the above",face to face,,,,,,
